UMAP 0,UMAP 1,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
-17.428885,-10.338805,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,SAT1,FCN1,NAMPT
15.798474,10.803217,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79A,HLA-DRB1,HLA-DPA1,HLA-DQA1
-8.946967,14.419988,Reticulocyte,MALAT1,HBB,HBA2,HBM,HBD,HBA1,AHSP,TPT1
-20.438278,-5.6072245,CD14+ Mono,S100A8,S100A9,LYZ,S100A12,FCN1,LGALS1,RETN,AC020916.1
15.92078,16.3962,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,IGHD,MS4A1,SAT1
-5.357972,8.838833,Normoblast,MALAT1,HBB,HBA2,HBM,HBA1,HBD,TPT1,CA1
-5.097997,6.4281816,Normoblast,HBB,HBD,HBA2,HBA1,HBM,TPT1,SLC25A37,ARL4A
16.625214,16.14286,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,MS4A1,IGHD,HLA-DPB1
-11.040012,15.099537,Reticulocyte,MALAT1,HBB,HBA2,HBD,HBA1,CA1,AHSP,TPT1
-1.9321843,-11.146269,CD4+ T activated,FOS,NEAT1,IL7R,JUNB,TRAC,CD69,JUN,ARL4C
14.920225,17.488203,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,IGHD,HLA-DRB1,CD79B,CD79A
16.55497,15.971504,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,JUN,CD79A,IGHD,MS4A1
-14.827402,-8.536899,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,CST3,FCN1,JUN
7.8676977,-12.503512,CD8+ T naive,CD8,CD8B,CD8A,FOS,CTSW,LINC02446,CD69,IL7R
-3.1935818,-10.023453,CD4+ T activated,MALAT1,NEAT1,TPT1,ARL4C,BCL11B,CCL5,FOSB,H1FX
-2.51766,6.399991,Normoblast,HBD,HBM,HBB,SLC25A37,PRDX2,HBA2,AHSP,HBA1
15.2218895,-1.9714094,NK,GNLY,NKG7,GZMB,PRF1,KLRD1,CTSW,CCL5,KLRF1
-15.660046,-9.707367,CD14+ Mono,LYZ,S100A9,NEAT1,S100A8,SAT1,FCN1,ANXA1,CST3
-8.645196,13.702486,Reticulocyte,MALAT1,HBB,HBA2,HBD,HBA1,HBM,AHSP,TPT1
12.661429,16.260292,Naive CD20+ B IGKC+,IGKC,IGHM,TCL1A,HLA-DRA,CD79B,CD74,IGLC1,MS4A1
1.9665232,-14.326199,CD4+ T naive,FOS,JUNB,JUN,TRBC1,HIST1H4C,EGR1,HBD,FYB1
0.010289311,-10.8302965,CD4+ T naive,MALAT1,H1FX,ARL4C,BCL11B,CRIP1,DNAJB1,IL7R,SAT1
-2.509367,-15.591732,CD4+ T naive,FOS,JUNB,TRBC1,JUN,IL7R,HBA1,MARCKSL1,SAT1
-13.52838,13.835062,Reticulocyte,MALAT1,HBA2,HBB,HBD,HBA1,TPT1,HBM,FOS
15.194685,16.034538,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,CD79A,IGHD,HLA-DRA,MS4A1,TCL1A
4.0533686,8.067258,Erythroblast,HBD,HIST1H4C,HBM,PRDX2,AHSP,CA1,TUBA1B,HBB
15.943004,15.59823,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,IGHD,MS4A1,HLA-DQA1,HLA-DRB1
-0.8656658,-12.581597,CD4+ T naive,ID2,MALAT1,ITGB1,IL7R,GZMM,HBA2,AL499604.1,TRBC2
15.572262,11.571163,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,TCL1A,HLA-DRB1,CD79A,CD79B
-19.028618,-8.116663,CD14+ Mono,S100A8,S100A9,LYZ,FCN1,SAT1,S100A12,MNDA,LGALS1
-6.00083,12.146873,Reticulocyte,MALAT1,HBM,HBB,HBA2,HBA1,HBD,TPT1,CA1
0.21512443,-8.848,CD4+ T activated,FOS,TRBC1,MALAT1,NEAT1,ARL4C,IGKC,S100A11,HBD
-18.879707,-9.420095,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,MNDA,FOS,FCN1
-17.868372,-9.458625,CD14+ Mono,S100A9,S100A8,LYZ,AC020916.1,NEAT1,FCN1,MNDA,SAT1
-15.117258,-5.9857354,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,AC020656.1,NEAT1,HIST1H4C,CTSS
8.7343445,-12.15399,CD8+ T naive,CD8B,FOS,CD8,DUSP2,LINC02446,HIST1H4C,CD7,NEAT1
-17.989786,-9.159235,CD14+ Mono,S100A9,S100A8,LYZ,SAT1,AC020916.1,NEAT1,CTSS,MNDA
2.9091766,-14.342598,CD4+ T naive,JUN,FOS,MALAT1,CITED2,AL499604.1,H1FX,ANXA1,IL7R
-19.642292,-8.641953,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,S100A12,FCN1,EGR1,LGALS1
-10.25648,14.475138,Reticulocyte,MALAT1,HBA2,HBB,HBA1,HBD,HBM,TPT1,FOS
15.849154,16.33231,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,HLA-DRB1,TCL1A,CD79B
7.7290287,-10.975105,CD8+ T naive,CD8B,CD8,NEAT1,HBD,FOSB,JUN,GZMM,TMSB10
16.235779,15.96044,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,MS4A1,HLA-DRB1,SAT1
0.9660588,-9.15954,CD4+ T activated,CD69,CRIP1,JUNB,NEAT1,BCL11B,SAT1,TRBC2,PCED1B-AS1
8.91173,-11.884363,CD8+ T naive,CD8B,CD8,CD8A,NUCB2,TNFAIP3,JUNB,NEAT1,CD69
-3.670401,6.2774568,Normoblast,HBM,HBD,HBB,HBA1,HBA2,TPT1,AHSP,PRDX2
13.103151,11.440546,Naive CD20+ B IGKC-,IGHM,IGLC2,CD79A,CD74,CD79B,HLA-DRA,TCL1A,NEAT1
3.8884184,8.4249115,Erythroblast,HIST1H4C,HBD,HBM,PRDX2,AHSP,CA1,TUBA1B,HBB
-13.458065,11.783827,Reticulocyte,MALAT1,HBA1,HBB,HBA2,HBD,HBM,TPT1,AHSP
-4.6154575,-8.038128,CD4+ T activated,IL7R,CRIP1,MALAT1,ITGB1,S100A11,NEAT1,FOS,ANXA1
-12.377066,14.406969,Reticulocyte,MALAT1,HBD,HBA2,HBB,HBA1,CA1,TPT1,HBM
-1.5801086,7.744913,Normoblast,HBB,HBD,HBM,CA1,HBA2,HBA1,AHSP,TPT1
-20.786205,-5.297599,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,FCN1,ANXA1,NEAT1,RETN
-5.6744614,6.9365377,Normoblast,HBB,HBA2,HBD,HBA1,TPT1,MALAT1,HBM,SLC25A37
-17.939709,-4.713617,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,LGALS1,AC020656.1,S100A12,MNDA
-20.293936,-4.100706,CD14+ Mono,S100A8,S100A9,LYZ,LGALS1,NEAT1,AC020916.1,AC020656.1,FOS
-8.866858,10.829065,Reticulocyte,HBD,HBM,MALAT1,TPT1,HBB,HBA1,HBA2,AHSP
-2.0397627,-11.158402,CD4+ T activated,ANXA1,H1FX,MALAT1,JUNB,ITGB1,TRBC1,JUN,TNFAIP3
16.540628,16.809248,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,MS4A1,HLA-DPA1,CD69
14.366592,15.949043,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,IGHD,CD74,CD79A,HLA-DRB1,MS4A1
-1.1177436,-14.054556,CD4+ T naive,H1FX,HBA2,AL499604.1,FOS,FYB1,JUN,SAT1,ARL4C
16.08392,16.370209,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,CD79B,TCL1A,HLA-DRB1
14.799908,-3.8967204,NK,NKG7,GNLY,CCL4,CTSW,ID2,FCER1G,TYROBP,CD7
2.0487504,4.163604,Erythroblast,CA1,HBM,HBD,HBB,AHSP,PRDX2,HMGB2,HBA1
14.14572,11.229734,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,TCL1A,CD79A,IGLC3,HLA-DPB1
9.396625,15.739787,Transitional B,IGKC,IGHM,TCL1A,CD79B,HLA-DRA,CD79A,VPREB3,CD74
-20.764631,-6.076974,CD14+ Mono,S100A8,S100A9,LYZ,NEAT1,RETN,ANXA1,S100A12,AC020916.1
7.416994,-12.202571,CD8+ T naive,FOS,CD8,TRBC1,JUN,JUNB,PCED1B-AS1,CD8B,HBD
15.585044,11.942133,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,HLA-DRB1,TCL1A,MS4A1,IGHD
7.7952704,-13.045279,CD8+ T naive,CD8,CD8A,CD8B,JUN,CD69,PCED1B-AS1,HBA1,FOSB
9.536183,-12.6461735,CD8+ T naive,CD8,JUN,JUNB,CD8A,FOS,PCED1B-AS1,CD69,HBA1
-15.345232,14.073929,Reticulocyte,MALAT1,HBA2,HBB,HBD,HBA1,TPT1,CA1,AHSP
-16.378494,-6.1884375,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,AC020656.1,VCAN,NEAT1,MNDA
-16.261913,13.238224,Reticulocyte,MALAT1,HBA2,HBB,HBA1,CA1,TPT1,AHSP,FOS
8.612709,-11.970036,CD8+ T naive,CD8B,CD8,CD8A,ID2,JUN,JUNB,TRAC,LINC02446
-20.244703,-4.801763,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020656.1,MNDA,FCN1,NEAT1
-11.658098,13.324326,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBA1,TPT1,HBM,AHSP
14.805668,10.787174,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,HLA-DRB1,HLA-DPB1,MS4A1,CD79A
-20.281878,-4.420023,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,HIST1H4C,RETN,NEAT1,AC020656.1
13.997713,-1.9653591,NK,GNLY,CCL4,SAT1,TPT1,KLRD1,PRF1,NKG7,GZMB
14.442633,-2.4885619,NK,GNLY,TPT1,CCL4,ANXA1,KLRD1,KLRK1,JUN,SYNE1
-11.372711,10.284805,Reticulocyte,MALAT1,HBD,HBB,HBA1,HBA2,TPT1,AHSP,PRDX2
-2.9097705,-11.3905525,CD4+ T naive,IL7R,JUN,MALAT1,FOS,ANXA1,FOSB,CD7,HIST1H1C
-0.65183604,-15.454382,CD4+ T naive,H1FX,JUN,DUSP2,FOS,JUNB,AL499604.1,IL7R,FOSB
15.679855,16.058746,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,MS4A1,IGHD,CD69
-4.3504877,-9.093795,CD4+ T activated,IL7R,CRIP1,MALAT1,PCED1B-AS1,GZMM,ITGB1,S100A11,AL499604.1
8.56675,-12.539776,CD8+ T naive,CD8B,CD8,CD69,CD8A,LINC02446,HBA1,CD7,AL499604.1
-19.736067,-4.644764,CD14+ Mono,LYZ,S100A9,S100A8,AC020656.1,LGALS1,NEAT1,SAT1,FCN1
-15.200197,12.48597,Reticulocyte,MALAT1,HBA2,HBD,HBB,HBA1,TPT1,AHSP,HIST1H4C
-15.696379,-7.5579967,CD14+ Mono,S100A9,LYZ,S100A8,FCN1,NEAT1,CTSS,AC020656.1,RGS2
-14.837688,13.341774,Reticulocyte,MALAT1,HBA2,HBB,HBA1,TPT1,AHSP,HBD,FOS
7.882112,15.63765,Transitional B,IGHM,IGKC,CD79B,TCL1A,IGLC1,HLA-DRA,CD24,VPREB3
15.93824,-0.80718726,NK,GNLY,NKG7,GZMB,PRF1,CLIC3,IRF1,CTSW,CD7
-2.954843,8.244852,Normoblast,HBD,HBB,HBA2,MALAT1,TPT1,HBA1,HBM,CA1
2.5337875,-13.550808,CD4+ T naive,ARL4C,IL7R,TPT1,GZMM,JUN,CD69,TRBC2,CD3G
1.4040594,5.997472,Erythroblast,HBD,HBB,HBM,MALAT1,HBA1,CA1,HBA2,HMGB2
-20.573017,-6.8854733,CD14+ Mono,S100A8,S100A9,LYZ,S100A12,FCN1,LGALS1,MNDA,RETN
13.547309,12.478344,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79B,CD79A,TCL1A,MS4A1
-17.057835,-10.059402,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,FCN1,AC020916.1,MNDA
-4.3391366,-12.942827,CD4+ T naive,FOS,ARL4C,IL7R,TPT1,NEAT1,HBA2,SAT1,PRKCQ-AS1
-18.496078,-7.470854,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,S100A12,ZFP36,NEAT1,AC020656.1
-7.097705,14.349898,Reticulocyte,MALAT1,HBB,HBM,HBA2,HBA1,HBD,TPT1,CA1
14.904438,11.173899,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,HLA-DRB1,HLA-DPB1,IGHD,CD79B
-11.688416,13.0910635,Reticulocyte,MALAT1,HBM,HBB,HBA2,HBD,HBA1,TPT1,AHSP
13.340694,17.021154,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,IGHD,CD79B,CD74,TCL1A
7.656786,-10.738617,CD8+ T naive,CD8B,CD8,JUN,CD7,IL7R,MALAT1,FOSB,NUCB2
-4.66168,-7.252372,CD4+ T activated,IL7R,CRIP1,ITGB1,ZFP36,FOS,SAT1,HBB,HBA2
-5.7503314,-6.731476,CD4+ T activated,IL7R,CRIP1,ID2,ITGB1,GNLY,SAT1,TPT1,GPR183
-3.171279,-7.8335752,CD4+ T activated,SAT1,ANXA1,TRAC,CD69,S100A11,ITM2A,CD74,MALAT1
8.361834,-10.675838,CD8+ T naive,CD8B,CD8,JUN,FOS,HBA1,KLRK1,NUCB2,MALAT1
-9.857254,10.855297,Reticulocyte,MALAT1,HBD,HBM,HBB,HBA2,HBA1,TPT1,AHSP
-18.093906,-10.005989,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,FCN1,AC020916.1,MNDA
10.536247,-0.18690285,CD8+ T CD57+ CD45RA+,GNLY,NKG7,GZMB,FGFBP2,GZMH,CCL5,PRF1,TRAC
-18.52938,-8.721104,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,MNDA,LGALS1,ANXA1
2.4050715,-13.932218,CD4+ T naive,JUNB,JUN,DUSP2,HBA2,TRAC,MALAT1,CD7,CRIP1
-1.2886132,7.0477624,Normoblast,HBD,HBM,HBB,HBA2,AHSP,HBA1,CA1,PRDX2
-3.4941783,-14.616615,CD4+ T naive,JUNB,IL7R,HIST1H4C,PCED1B-AS1,TNFAIP3,CD69,FOS,TRAT1
-17.687895,-6.174344,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,NEAT1,MNDA,FCN1,VCAN
-6.9108534,8.032593,Normoblast,HBB,TPT1,MALAT1,HBA1,HBD,HBA2,HBM,SLC25A37
-3.1781774,9.068888,Normoblast,HBB,HBD,MALAT1,HBA2,TPT1,HBA1,HBM,CA1
14.43018,16.125717,Naive CD20+ B IGKC+,IGKC,IGHM,CD79A,IGHD,HLA-DRA,CD74,JUN,CD69
-20.242825,-6.222432,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020656.1,S100A12,FCN1,MNDA
-0.10526505,-14.267411,CD4+ T naive,FOS,AL499604.1,FOSB,TRBC1,JUN,CD7,JUNB,IL7R
-14.785298,-6.887308,CD14+ Mono,S100A9,S100A8,LYZ,VCAN,FCN1,CTSS,CST3,MNDA
-16.864807,-9.759851,CD14+ Mono,S100A9,LYZ,S100A8,NEAT1,MNDA,FCN1,AC020916.1,AC020656.1
10.244931,-11.721653,CD8+ T naive,CD8B,CD8,JUNB,JUN,LINC02446,HBD,TPT1,CD7
-8.823072,14.633667,Reticulocyte,MALAT1,HBB,HBD,HBA2,HBM,HBA1,CA1,TPT1
-11.072247,14.570901,Reticulocyte,MALAT1,HBM,HBB,HBA2,HBA1,HBD,TPT1,AHSP
11.351717,14.473711,Naive CD20+ B IGKC-,IGHM,CD79B,TCL1A,MS4A1,CD79A,IGLC2,HLA-DRA,IGLC1
-5.99187,7.7320943,Normoblast,HBB,HBA2,HBD,HBA1,TPT1,HBM,ARL4A,MALAT1
-16.823868,-6.296625,CD14+ Mono,S100A9,S100A8,LYZ,MNDA,FCN1,NEAT1,CTSS,CST3
-10.347061,15.145321,Reticulocyte,MALAT1,HBA2,HBB,HBM,HBA1,CA1,HBD,TPT1
10.59347,15.89831,Naive CD20+ B IGKC+,IGKC,IGHM,CD79B,TCL1A,CD79A,HLA-DRA,MS4A1,VPREB3
-0.39568958,-15.559657,CD4+ T naive,FOS,TRBC1,DUSP2,JUNB,AL499604.1,FOSB,H1FX,CITED2
0.9054676,-13.624813,CD4+ T naive,TRBC1,FOS,JUNB,ARL4C,CRIP1,JUN,TRAC,HBA1
-1.9446925,7.99182,Normoblast,HBD,HBB,CA1,HBM,HBA2,HBA1,AHSP,PRDX2
-18.783321,-6.9153156,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,FCN1,LGALS1,AC020916.1,MNDA
-17.997766,-9.702054,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,SAT1,AC020916.1,FCN1,MNDA
16.995827,16.165993,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,IGHD,SAT1,HLA-DRB1
13.88604,13.062137,Naive CD20+ B IGKC-,IGHM,IGLC2,HLA-DRA,CD79A,CD74,IGHD,TCL1A,MS4A1
15.484749,14.242305,Naive CD20+ B IGKC-,IGHM,IGLC1,CD74,HLA-DRA,HLA-DQA1,CD79A,TCL1A,HLA-DRB1
-6.0600166,6.3160563,Normoblast,HBB,HBA1,HBA2,HBD,TPT1,SLC25A37,ARL4A,AHSP
14.935637,11.677099,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79B,IGKC,MS4A1,HLA-DRB1
8.28534,13.918915,Transitional B,IGHM,TCL1A,CD79B,IGLC2,IGLC1,HLA-DRA,SOX4,VPREB3
14.932444,17.163538,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,TCL1A,CD74,CD79A,IGHD,SAT1
14.381218,16.59721,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79B,MS4A1,IGHD,TCL1A
15.113134,17.256397,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD74,TCL1A,IGHD,HLA-DRB1
-19.724834,-4.8090267,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020656.1,S100A12,FCN1,NEAT1
9.74606,-12.013924,CD8+ T naive,CD8B,CD8,LINC02446,JUN,FOS,JUNB,DUSP2,GZMM
-16.956472,-6.867918,CD14+ Mono,S100A9,S100A8,LYZ,SAT1,NEAT1,S100A12,VCAN,LGALS1
-18.727894,-9.60573,CD14+ Mono,S100A9,S100A8,LYZ,SAT1,NEAT1,IFI30,FCN1,ANXA1
-4.94827,5.0241303,Normoblast,SLC25A37,HBB,TPT1,HBA1,HBA2,ARL4A,HBD,TMCC2
-20.349245,-5.818116,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,S100A12,MNDA,AC020916.1,EGR1
-3.2711473,7.2949824,Normoblast,CA1,HBM,HBB,HBD,HBA2,TPT1,HBA1,SLC25A37
-6.042408,11.906069,Reticulocyte,MALAT1,HBB,HBA2,HBA1,HBM,HBD,TPT1,CA1
-16.818085,-7.690519,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,FCN1,VCAN,AC020656.1,JUN
3.094967,-10.454839,CD4+ T naive,AL499604.1,TRBC1,JUN,NEAT1,H1FX,MALAT1,ARL4C,JUNB
7.652014,-13.299957,CD8+ T naive,CD8,CD8B,LINC02446,JUN,CD8A,JUNB,MALAT1,CD7
13.957417,13.070965,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD79A,CD74,CD79B,TCL1A,IGHD
-8.948281,14.337839,Reticulocyte,MALAT1,HBB,HBA2,HBA1,HBD,CA1,HBM,FOS
7.624633,15.653852,Transitional B,IGKC,IGHM,CD79B,VPREB3,IGLC1,TCL1A,CD24,HLA-DRA
-0.23676771,-13.548698,CD4+ T naive,TRBC1,JUNB,DUSP2,FOS,H1FX,FYB1,MALAT1,CITED2
3.8793876,7.656637,Erythroblast,HIST1H4C,HBD,HBM,CA1,AHSP,PRDX2,HBB,TUBB
9.043401,-10.908367,CD8+ T naive,CD8B,CD8,LINC02446,JUN,KLRK1,FOS,GZMM,DUSP2
0.06097597,-12.67455,CD4+ T naive,IL7R,H1FX,TPT1,HBA2,HBB,TRAC,RGS1,CD7
15.169829,10.774258,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,HLA-DPA1,HLA-DRB1,TCL1A,CD79A
9.525328,-9.0349655,CD8+ T naive,CD8B,LINC02446,CD8,CD8A,HBA1,HBB,MALAT1,HIST1H1D
-1.9609122,-14.697329,CD4+ T naive,JUN,TRBC1,SAT1,AL499604.1,IL7R,FOS,JUNB,FOSB
-3.5477767,-13.617861,CD4+ T activated,JUN,FOS,EGR1,MALAT1,FOSB,TRBC1,TNFAIP3,HBB
7.3285775,-11.427893,CD8+ T naive,CD8A,CD8,ID2,AL499604.1,CD8B,FOS,GZMM,HBB
3.811952,-11.671305,CD4+ T activated,JUN,JUNB,H1FX,BCL11B,TPT1,HSP90B1,HBA1,HBA2
9.197704,-11.838128,CD8+ T naive,CD8,CD8A,FOS,LINC02446,JUNB,CD7,ID2,GZMM
-3.8334413,5.3588424,Normoblast,HBD,HBB,HBM,SLC25A37,HBA2,TPT1,ARL4A,CA1
-19.27975,-7.008602,CD14+ Mono,S100A8,S100A9,LYZ,AC020916.1,MNDA,S100A12,NEAT1,SAT1
-1.940598,7.847384,Normoblast,HBD,HBB,HBM,HBA2,CA1,AHSP,HBA1,MALAT1
14.8252,-2.196632,NK,GNLY,NKG7,GZMB,CST7,CLIC3,TYROBP,GZMM,CTSW
9.04824,15.832298,Transitional B,IGKC,IGHM,TCL1A,IGLC1,CD79B,JUN,HLA-DRA,CD24
2.3073406,-13.751672,CD4+ T activated,JUN,FOS,CD7,IL7R,MALAT1,IGKC,JUNB,HBA1
15.1406145,11.602583,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,TCL1A,HLA-DRA,CD79A,IGHD,MS4A1
-17.995247,-9.3934145,CD14+ Mono,S100A9,S100A8,LYZ,AC020916.1,NEAT1,MNDA,FCN1,AC020656.1
2.8237247,-12.931068,CD4+ T naive,CD69,CD7,JUNB,TRBC1,TUBA1B,ANXA1,NEAT1,BCL11B
-5.0959044,-5.130564,CD4+ T activated,IL7R,ANXA1,FOSB,CD69,ZFP36,JUN,GIMAP7,TRBC2
10.196875,-0.31455654,CD8+ T CD57+ CD45RA+,GNLY,NKG7,CCL5,KLRB1,GZMH,SYNE1,FGFBP2,IL7R
14.5673685,11.686351,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,CD79A,HLA-DRA,MS4A1,TCL1A,HLA-DPA1
-8.258791,13.736672,Reticulocyte,MALAT1,HBB,HBA2,HBD,HBA1,HBM,CA1,TPT1
0.89563787,-11.283613,CD4+ T naive,JUN,JUNB,MALAT1,ANXA1,TNFAIP3,ARL4C,BCL11B,HBA1
-0.20080784,-14.75486,CD4+ T naive,TRBC1,JUNB,CD69,FOSB,AL499604.1,IL7R,MALAT1,TRBC2
-4.651808,-8.434982,CD4+ T activated,TRBC1,CRIP1,IL7R,KLRB1,KLF6,ANXA1,FOS,TPT1
-17.967436,-8.29369,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,FCN1,AC020916.1,NAMPT,MNDA
-16.76626,-9.692596,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,AC020916.1,SAT1,TYROBP,MNDA
15.205573,10.972519,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,HLA-DRB1,MS4A1,CD79A,IGHD
-4.8878565,5.755988,Normoblast,HBB,HBA1,HBA2,HBD,HBM,SLC25A37,ARL4A,AHSP
-8.301057,12.391957,Reticulocyte,MALAT1,HBB,HBA1,HBA2,HBD,AHSP,HBM,TPT1
-8.057634,14.053785,Reticulocyte,MALAT1,HBB,HBA2,HBA1,HBD,HBM,TPT1,AHSP
-8.138456,12.510082,Reticulocyte,MALAT1,HBM,HBB,HBA1,HBA2,TPT1,HBD,AHSP
15.535915,-1.4626087,NK,GNLY,NKG7,GZMB,KLRD1,CCL4,TYROBP,FGFBP2,CTSW
-9.546099,13.982363,Reticulocyte,MALAT1,HBB,HBD,HBA2,HBA1,HBM,TPT1,CA1
-1.1157364,-15.777904,CD4+ T naive,JUN,JUNB,TRBC1,IL7R,HIST1H4C,FOS,FOSB,PRKCQ-AS1
-19.105133,-6.911562,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,AC020916.1,FCN1,LGALS1,MNDA
1.8971479,-12.693697,CD4+ T activated,CRIP1,CD7,JUN,GZMM,ANXA1,FOSB,S100A11,SAT1
-18.680843,-8.378857,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,MNDA,RGS2,FCN1,CTSS
15.369127,10.66033,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,CD79A,HLA-DRB1,HLA-DPA1,HLA-DPB1
15.972109,13.834167,Naive CD20+ B IGKC-,IGHM,IGHD,IGLC1,HLA-DRA,CD79A,CD74,TCL1A,CD79B
-3.329122,7.4156075,Normoblast,HBM,HBB,HBD,HBA2,TPT1,CA1,HBA1,SLC25A37
3.140215,7.335772,Erythroblast,HBD,HBM,HIST1H4C,PRDX2,HBB,AHSP,CA1,HBA2
3.490451,-13.60054,CD8+ T naive,CD8B,DUSP2,CD8,EGR1,AL499604.1,ARL4C,JUN,JUNB
-18.486263,-8.822168,CD14+ Mono,S100A9,S100A8,LYZ,AC020916.1,NEAT1,ANXA1,MNDA,S100A12
-5.5009184,-7.992727,CD4+ T activated,IL7R,KLRB1,CRIP1,FOS,ID2,S100A11,TPT1,GPR183
-1.4983511,-14.9216385,CD4+ T naive,FOS,TRBC1,AL499604.1,HIST1H4C,EGR1,TPT1,UBE2S,KLF6
-3.0325212,5.7240086,Normoblast,HBM,HBD,CA1,SLC25A37,HBB,AHSP,HBA2,HBA1
-20.330128,-5.9052577,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020916.1,NEAT1,AC020656.1,S100A12
4.8688526,8.787336,Erythroblast,HIST1H4C,HBD,CA1,HBM,PRDX2,AHSP,TUBA1B,HBB
9.539509,-0.3834423,CD8+ T CD57+ CD45RA+,GNLY,NKG7,CCL5,CCL4,GZMH,CST7,TRBC2,FGFBP2
-4.8848925,-6.6768723,CD4+ T activated,IL7R,TRBC2,KLRB1,ID2,CRIP1,ZFP36,GPR183,FOS
-17.329742,-3.9408617,CD14+ Mono,LYZ,S100A8,S100A9,FCN1,LGALS1,MNDA,S100A12,VCAN
7.6488037,15.333154,Transitional B,IGHM,CD79B,TCL1A,IGLC1,IGKC,YBX3,CD24,H1FX
-15.232634,14.156803,Reticulocyte,MALAT1,HBM,HBA2,HBD,HBB,HBA1,TPT1,FOS
2.3113072,-13.582407,CD4+ T naive,TRBC1,FOS,CITED2,CD7,TRAC,ANXA1,AL499604.1,CRIP1
1.7626534,-10.056293,CD4+ T naive,FOS,JUNB,JUN,TRBC1,TPT1,CRIP1,HBD,IRF1
-5.8224134,-7.568512,CD4+ T activated,CRIP1,FOS,LGALS1,S100A11,ZFP36,IRF1,JUNB,SAT1
