gene,mean_contribution,sem_contribution,cell_type
HIPK3,0.0,0.0,CD4+ T naive
CD59,0.0,0.0,CD4+ T naive
FBXO3,0.0,0.0,CD4+ T naive
LMO2,0.0,0.0,CD4+ T naive
CAPRIN1,0.0,0.0,CD4+ T naive
NAT10,0.0,0.0,CD4+ T naive
ABTB2,0.0,0.0,CD4+ T naive
CAT,0.0,0.0,CD4+ T naive
APIP,0.0,0.0,CD4+ T naive
PDHX,0.0,0.0,CD4+ T naive
CD44,0.0,0.0,CD4+ T naive
AL133330.1,0.0,0.0,CD4+ T naive
TRIM44,0.0005364,0.0,CD4+ T naive
LDLRAD3,0.0,0.0,CD4+ T naive
COMMD9,0.0,0.0,CD4+ T naive
PRR5L,2.486e-05,0.0,CD4+ T naive
TRAF6,0.0,0.0,CD4+ T naive
RAG1,1.06e-05,0.0,CD4+ T naive
RAG2,1.2e-06,0.0,CD4+ T naive
C11orf74,0.0,0.0,CD4+ T naive
API5,0.0,0.0,CD4+ T naive
TTC17,0.0,0.0,CD4+ T naive
AC068205.2,0.0,0.0,CD4+ T naive
HSD17B12,0.0,0.0,CD4+ T naive
ALKBH3,0.0,0.0,CD4+ T naive
C11orf96,5e-07,0.0,CD4+ T naive
ACCS,0.0,0.0,CD4+ T naive
EXT2,0.0,0.0,CD4+ T naive
CD82,0.0001781,0.0,CD4+ T naive
TSPAN18,0.0,0.0,CD4+ T naive
TP53I11,0.0,0.0,CD4+ T naive
PRDM11,0.0,0.0,CD4+ T naive
LINC02696,1.13e-06,0.0,CD4+ T naive
SLC35C1,0.0,0.0,CD4+ T naive
CRY2,0.0,0.0,CD4+ T naive
PEX16,0.0,0.0,CD4+ T naive
LARGE2,0.0,0.0,CD4+ T naive
PHF21A,0.0,0.0,CD4+ T naive
DGKZ,0.0,0.0,CD4+ T naive
MDK,8.2e-06,0.0,CD4+ T naive
AMBRA1,0.0,0.0,CD4+ T naive
AC127035.1,0.0,0.0,CD4+ T naive
HARBI1,0.0,0.0,CD4+ T naive
ATG13,0.0,0.0,CD4+ T naive
ARHGAP1,0.0,0.0,CD4+ T naive
ZNF408,0.0,0.0,CD4+ T naive
CKAP5,0.0,0.0,CD4+ T naive
C11orf49,0.0,0.0,CD4+ T naive
ARFGAP2,0.0,0.0,CD4+ T naive
DDB2,0.0,0.0,CD4+ T naive
ACP2,0.0,0.0,CD4+ T naive
NR1H3,0.0,0.0,CD4+ T naive
MADD,0.0,0.0,CD4+ T naive
SPI1,0.0002675,0.0,CD4+ T naive
AC090559.1,0.0,0.0,CD4+ T naive
SLC39A13,0.0,0.0,CD4+ T naive
PSMC3,0.0,0.0,CD4+ T naive
CELF1,0.0,0.0,CD4+ T naive
AC090559.2,0.0,0.0,CD4+ T naive
NDUFS3,0.0,0.0,CD4+ T naive
PTPMT1,0.0,0.0,CD4+ T naive
KBTBD4,0.0,0.0,CD4+ T naive
C1QTNF4,1.1e-06,0.0,CD4+ T naive
MTCH2,0.0,0.0,CD4+ T naive
FNBP4,0.0,0.0,CD4+ T naive
NUP160,0.0,0.0,CD4+ T naive
PTPRJ,0.0,0.0,CD4+ T naive
TNKS1BP1,0.0,0.0,CD4+ T naive
SSRP1,0.0,0.0,CD4+ T naive
PRG2,1e-07,0.0,CD4+ T naive
SLC43A3,0.0,0.0,CD4+ T naive
RTN4RL2,0.0,0.0,CD4+ T naive
SLC43A1,0.0,0.0,CD4+ T naive
TIMM10,0.0002995,0.0,CD4+ T naive
UBE2L6,0.0,0.0,CD4+ T naive
SERPING1,0.0,0.0,CD4+ T naive
YPEL4,0.0,0.0,CD4+ T naive
CLP1,0.0,0.0,CD4+ T naive
ZDHHC5,0.0,0.0,CD4+ T naive
MED19,0.0,0.0,CD4+ T naive
TMX2,0.0,0.0,CD4+ T naive
SELENOH,0.0,0.0,CD4+ T naive
CTNND1,0.0,0.0,CD4+ T naive
LPXN,0.0,0.0,CD4+ T naive
ZFP91,0.0,0.0,CD4+ T naive
FAM111B,1.04e-05,0.0,CD4+ T naive
FAM111A-DT,0.0,0.0,CD4+ T naive
FAM111A,0.0,0.0,CD4+ T naive
DTX4,0.0,0.0,CD4+ T naive
MPEG1,0.0003717,0.0,CD4+ T naive
LINC02739,0.0,0.0,CD4+ T naive
OSBP,0.0,0.0,CD4+ T naive
PATL1,0.0,0.0,CD4+ T naive
STX3,0.0,0.0,CD4+ T naive
MRPL16,0.0,0.0,CD4+ T naive
MS4A3,2.4e-07,0.0,CD4+ T naive
MS4A6A,0.0002882,0.0,CD4+ T naive
MS4A4A,0.0,0.0,CD4+ T naive
MS4A4E,0.0,0.0,CD4+ T naive
MS4A7,8.76e-05,0.0,CD4+ T naive
MS4A14,0.0,0.0,CD4+ T naive
MS4A1,0.0009017,0.0,CD4+ T naive
CCDC86,0.0,0.0,CD4+ T naive
PRPF19,0.0,0.0,CD4+ T naive
TMEM109,0.0,0.0,CD4+ T naive
SLC15A3,0.0,0.0,CD4+ T naive
CD6,0.000665,0.0,CD4+ T naive
CD5,0.0003493,0.0,CD4+ T naive
VPS37C,0.0,0.0,CD4+ T naive
VWCE,0.0,0.0,CD4+ T naive
DDB1,0.0,0.0,CD4+ T naive
TKFC,0.0,0.0,CD4+ T naive
CYB561A3,0.0002773,0.0,CD4+ T naive
TMEM138,0.0,0.0,CD4+ T naive
TMEM216,0.0,0.0,CD4+ T naive
CPSF7,0.0,0.0,CD4+ T naive
SDHAF2,0.0,0.0,CD4+ T naive
TMEM258,0.0,0.0,CD4+ T naive
FEN1,0.0,0.0,CD4+ T naive
FADS2,0.0,0.0,CD4+ T naive
FADS1,0.0,0.0,CD4+ T naive
FADS3,1.884e-05,0.0,CD4+ T naive
RAB3IL1,0.0,0.0,CD4+ T naive
BEST1,0.0,0.0,CD4+ T naive
FTH1,0.0,0.0,CD4+ T naive
INCENP,0.0,0.0,CD4+ T naive
ASRGL1,0.0,0.0,CD4+ T naive
AHNAK,0.00423,0.0002364,CD4+ T naive
EEF1G,0.0,0.0,CD4+ T naive
TUT1,0.0,0.0,CD4+ T naive
MTA2,0.0,0.0,CD4+ T naive
EML3,0.0,0.0,CD4+ T naive
ROM1,0.0,0.0,CD4+ T naive
B3GAT3,0.0,0.0,CD4+ T naive
GANAB,0.0,0.0,CD4+ T naive
INTS5,0.0,0.0,CD4+ T naive
C11orf98,0.0,0.0,CD4+ T naive
LBHD1,0.0,0.0,CD4+ T naive
CSKMT,0.000867,6.104e-05,CD4+ T naive
UQCC3,0.0,0.0,CD4+ T naive
UBXN1,0.0,0.0,CD4+ T naive
BSCL2,0.0,0.0,CD4+ T naive
HNRNPUL2,0.0,0.0,CD4+ T naive
TTC9C,0.0,0.0,CD4+ T naive
ZBTB3,0.0,0.0,CD4+ T naive
POLR2G,0.0,0.0,CD4+ T naive
AP001160.2,0.0,0.0,CD4+ T naive
TAF6L,0.0,0.0,CD4+ T naive
TMEM223,0.0,0.0,CD4+ T naive
AP001160.3,0.0,0.0,CD4+ T naive
TMEM179B,0.0,0.0,CD4+ T naive
NXF1,0.0,0.0,CD4+ T naive
STX5,0.0,0.0,CD4+ T naive
AP001160.1,8.404e-05,0.0,CD4+ T naive
WDR74,0.001004,0.0,CD4+ T naive
SNHG1,0.0,0.0,CD4+ T naive
SLC3A2,0.0,0.0,CD4+ T naive
LGALS12,0.0,0.0,CD4+ T naive
PLAAT4,0.001662,6.104e-05,CD4+ T naive
PLAAT3,4.55e-05,0.0,CD4+ T naive
ATL3,0.0,0.0,CD4+ T naive
RTN3,0.0002623,0.0,CD4+ T naive
C11orf95,2.4e-07,0.0,CD4+ T naive
SPINDOC,0.0,0.0,CD4+ T naive
MARK2,0.0,0.0,CD4+ T naive
NAA40,0.0,0.0,CD4+ T naive
COX8A,0.0,0.0,CD4+ T naive
OTUB1,0.0,0.0,CD4+ T naive
MACROD1,0.0,0.0,CD4+ T naive
STIP1,0.0,0.0,CD4+ T naive
FERMT3,0.0,0.0,CD4+ T naive
TRPT1,0.0,0.0,CD4+ T naive
NUDT22,0.0,0.0,CD4+ T naive
DNAJC4,0.0,0.0,CD4+ T naive
VEGFB,0.0,0.0,CD4+ T naive
FKBP2,0.0,0.0,CD4+ T naive
PPP1R14B,0.000954,0.0,CD4+ T naive
PPP1R14B-AS1,0.0,0.0,CD4+ T naive
PLCB3,0.0,0.0,CD4+ T naive
BAD,0.0,0.0,CD4+ T naive
GPR137,0.0,0.0,CD4+ T naive
ESRRA,0.0,0.0,CD4+ T naive
TRMT112,0.0,0.0,CD4+ T naive
PRDX5,0.0,0.0,CD4+ T naive
AP003774.2,0.0,0.0,CD4+ T naive
CCDC88B,0.0,0.0,CD4+ T naive
LINC02723,0.0,0.0,CD4+ T naive
RASGRP2,0.0,0.0,CD4+ T naive
PYGM,0.0,0.0,CD4+ T naive
SF1,0.0,0.0,CD4+ T naive
AP001462.1,0.0,0.0,CD4+ T naive
MAP4K2,0.0,0.0,CD4+ T naive
MEN1,0.0,0.0,CD4+ T naive
CDC42BPG,0.0,0.0,CD4+ T naive
EHD1,0.0,0.0,CD4+ T naive
ATG2A,0.0,0.0,CD4+ T naive
PPP2R5B,0.0,0.0,CD4+ T naive
ARL2,0.0,0.0,CD4+ T naive
SNX15,0.0,0.0,CD4+ T naive
SAC3D1,0.0,0.0,CD4+ T naive
NAALADL1,0.0,0.0,CD4+ T naive
CDCA5,0.0,0.0,CD4+ T naive
ZFPL1,0.0,0.0,CD4+ T naive
VPS51,0.0,0.0,CD4+ T naive
TM7SF2,0.0,0.0,CD4+ T naive
ZNHIT2,0.0,0.0,CD4+ T naive
FAU,0.0,0.0,CD4+ T naive
SYVN1,5.907e-05,0.0,CD4+ T naive
MRPL49,0.0,0.0,CD4+ T naive
CAPN1,0.0,0.0,CD4+ T naive
POLA2,0.0,0.0,CD4+ T naive
CDC42EP2,0.0,0.0,CD4+ T naive
DPF2,0.0,0.0,CD4+ T naive
TIGD3,0.0,0.0,CD4+ T naive
SLC25A45,0.0002682,0.0,CD4+ T naive
FRMD8,0.0,0.0,CD4+ T naive
NEAT1,0.007195,0.0003111,CD4+ T naive
MALAT1,0.01379,0.0008717,CD4+ T naive
SCYL1,0.0,0.0,CD4+ T naive
LTBP3,0.0001545,0.0,CD4+ T naive
SSSCA1-AS1,0.0,0.0,CD4+ T naive
ZNRD2,0.0,0.0,CD4+ T naive
FAM89B,0.0,0.0,CD4+ T naive
EHBP1L1,0.0,0.0,CD4+ T naive
MAP3K11,0.0,0.0,CD4+ T naive
PCNX3,0.0,0.0,CD4+ T naive
SIPA1,0.0,0.0,CD4+ T naive
RELA,0.0,0.0,CD4+ T naive
RELA-DT,0.0,0.0,CD4+ T naive
KAT5,0.0,0.0,CD4+ T naive
RNASEH2C,0.0,0.0,CD4+ T naive
AP5B1,0.0,0.0,CD4+ T naive
CFL1,0.0,0.0,CD4+ T naive
MUS81,0.0,0.0,CD4+ T naive
EFEMP2,0.0,0.0,CD4+ T naive
CTSW,0.001497,0.0001221,CD4+ T naive
FIBP,0.0,0.0,CD4+ T naive
CCDC85B,0.0,0.0,CD4+ T naive
FOSL1,0.0,0.0,CD4+ T naive
C11orf68,0.0,0.0,CD4+ T naive
DRAP1,0.0,0.0,CD4+ T naive
SART1,0.0,0.0,CD4+ T naive
EIF1AD,0.0,0.0,CD4+ T naive
BANF1,0.0,0.0,CD4+ T naive
CATSPER1,0.0,0.0,CD4+ T naive
SF3B2,0.0,0.0,CD4+ T naive
PACS1,0.0,0.0,CD4+ T naive
KLC2,0.0,0.0,CD4+ T naive
RAB1B,0.0,0.0,CD4+ T naive
YIF1A,0.0,0.0,CD4+ T naive
RIN1,0.0,0.0,CD4+ T naive
BRMS1,0.0,0.0,CD4+ T naive
B4GAT1,0.0,0.0,CD4+ T naive
AP001107.9,0.0,0.0,CD4+ T naive
SLC29A2,0.0,0.0,CD4+ T naive
MRPL11,0.0,0.0,CD4+ T naive
PELI3,0.0,0.0,CD4+ T naive
AP002748.4,0.0,0.0,CD4+ T naive
DPP3,0.0,0.0,CD4+ T naive
BBS1,0.0,0.0,CD4+ T naive
ZDHHC24,0.0,0.0,CD4+ T naive
CTSF,0.0,0.0,CD4+ T naive
CCS,0.0,0.0,CD4+ T naive
RBM14,0.0,0.0,CD4+ T naive
RBM4,0.0,0.0,CD4+ T naive
RBM4B,0.0,0.0,CD4+ T naive
C11orf80,0.0,0.0,CD4+ T naive
RCE1,0.0,0.0,CD4+ T naive
PC,0.0,0.0,CD4+ T naive
LRFN4,0.0,0.0,CD4+ T naive
KDM2A,0.0,0.0,CD4+ T naive
GRK2,0.0,0.0,CD4+ T naive
ANKRD13D,0.0,0.0,CD4+ T naive
SSH3,0.0,0.0,CD4+ T naive
RAD9A,0.0,0.0,CD4+ T naive
POLD4,0.0,0.0,CD4+ T naive
CLCF1,0.0,0.0,CD4+ T naive
PPP1CA,0.0,0.0,CD4+ T naive
TBC1D10C,0.0,0.0,CD4+ T naive
CORO1B,0.001242,8.63e-05,CD4+ T naive
CABP4,0.0,0.0,CD4+ T naive
TMEM134,0.0,0.0,CD4+ T naive
AIP,0.0,0.0,CD4+ T naive
PITPNM1,0.0,0.0,CD4+ T naive
CDK2AP2,0.0,0.0,CD4+ T naive
GSTP1,0.0,0.0,CD4+ T naive
NDUFV1,0.0,0.0,CD4+ T naive
NUDT8,0.0,0.0,CD4+ T naive
ACY3,6e-08,0.0,CD4+ T naive
UNC93B1,0.0,0.0,CD4+ T naive
ALDH3B1,0.0,0.0,CD4+ T naive
NDUFS8,0.0,0.0,CD4+ T naive
TCIRG1,0.0,0.0,CD4+ T naive
AP002807.1,0.0,0.0,CD4+ T naive
CHKA,0.0,0.0,CD4+ T naive
KMT5B,0.0,0.0,CD4+ T naive
C11orf24,0.0,0.0,CD4+ T naive
LRP5,0.0,0.0,CD4+ T naive
PPP6R3,0.0,0.0,CD4+ T naive
TESMIN,0.0,0.0,CD4+ T naive
CPT1A,0.0,0.0,CD4+ T naive
MRPL21,0.0,0.0,CD4+ T naive
IGHMBP2,0.0,0.0,CD4+ T naive
TPCN2,0.0,0.0,CD4+ T naive
CCND1,1.6e-06,0.0,CD4+ T naive
LTO1,0.0,0.0,CD4+ T naive
FADD,0.0,0.0,CD4+ T naive
PPFIA1,0.0,0.0,CD4+ T naive
AP002336.1,0.0,0.0,CD4+ T naive
AP000487.1,0.0,0.0,CD4+ T naive
CTTN,0.0,0.0,CD4+ T naive
DHCR7,0.0,0.0,CD4+ T naive
AP002387.2,0.0,0.0,CD4+ T naive
NADSYN1,0.0,0.0,CD4+ T naive
ALG1L9P,0.0,0.0,CD4+ T naive
FAM86C1,0.0,0.0,CD4+ T naive
AP002495.1,0.0,0.0,CD4+ T naive
RNF121,0.0,0.0,CD4+ T naive
IL18BP,0.0,0.0,CD4+ T naive
NUMA1,0.0,0.0,CD4+ T naive
AP002490.1,4e-07,0.0,CD4+ T naive
LRTOMT,0.0,0.0,CD4+ T naive
LAMTOR1,0.0,0.0,CD4+ T naive
ANAPC15,0.0,0.0,CD4+ T naive
FOLR3,0.0,0.0,CD4+ T naive
FOLR2,0.0,0.0,CD4+ T naive
INPPL1,0.0,0.0,CD4+ T naive
CLPB,0.0,0.0,CD4+ T naive
ARAP1,0.0,0.0,CD4+ T naive
STARD10,0.0,0.0,CD4+ T naive
AP002381.2,0.0,0.0,CD4+ T naive
ATG16L2,0.0,0.0,CD4+ T naive
FCHSD2,0.0001506,0.0,CD4+ T naive
P2RY2,0.0,0.0,CD4+ T naive
P2RY6,0.0,0.0,CD4+ T naive
RELT,0.0,0.0,CD4+ T naive
FAM168A,0.0,0.0,CD4+ T naive
AP000763.3,0.0,0.0,CD4+ T naive
PLEKHB1,0.0,0.0,CD4+ T naive
RAB6A,0.0,0.0,CD4+ T naive
MRPL48,0.0,0.0,CD4+ T naive
COA4,0.0,0.0,CD4+ T naive
PAAF1,0.0,0.0,CD4+ T naive
UCP2,0.0,0.0,CD4+ T naive
AP003717.4,3.403e-05,0.0,CD4+ T naive
UCP3,0.0,0.0,CD4+ T naive
C2CD3,0.0,0.0,CD4+ T naive
PPME1,0.0,0.0,CD4+ T naive
P4HA3,0.0,0.0,CD4+ T naive
PGM2L1,0.0,0.0,CD4+ T naive
KCNE3,0.0,0.0,CD4+ T naive
LIPT2,0.0,0.0,CD4+ T naive
AP001372.2,0.0,0.0,CD4+ T naive
POLD3,0.0,0.0,CD4+ T naive
RNF169,0.0,0.0,CD4+ T naive
XRRA1,0.0,0.0,CD4+ T naive
SPCS2,0.0,0.0,CD4+ T naive
NEU3,0.0,0.0,CD4+ T naive
ARRB1,0.0,0.0,CD4+ T naive
KLHL35,0.0,0.0,CD4+ T naive
GDPD5,0.0,0.0,CD4+ T naive
SERPINH1,0.0,0.0,CD4+ T naive
DGAT2,0.0,0.0,CD4+ T naive
UVRAG,0.0,0.0,CD4+ T naive
AP003168.2,0.0,0.0,CD4+ T naive
THAP12,0.0,0.0,CD4+ T naive
GVQW3,0.0,0.0,CD4+ T naive
AP002360.1,0.0,0.0,CD4+ T naive
EMSY,0.0,0.0,CD4+ T naive
ACER3,0.0,0.0,CD4+ T naive
CAPN5,0.0,0.0,CD4+ T naive
PAK1,0.0,0.0,CD4+ T naive
AP003680.1,0.0,0.0,CD4+ T naive
CLNS1A,0.0,0.0,CD4+ T naive
RSF1,0.0,0.0,CD4+ T naive
RSF1-IT2,2e-07,0.0,CD4+ T naive
AAMDC,0.0,0.0,CD4+ T naive
INTS4,0.0,0.0,CD4+ T naive
NDUFC2,0.0,0.0,CD4+ T naive
ALG8,0.0,0.0,CD4+ T naive
KCTD21-AS1,0.0,0.0,CD4+ T naive
KCTD21,0.0,0.0,CD4+ T naive
USP35,0.0,0.0,CD4+ T naive
GAB2,0.0,0.0,CD4+ T naive
LINC02728,0.0,0.0,CD4+ T naive
NARS2,0.0,0.0,CD4+ T naive
PRCP,0.0,0.0,CD4+ T naive
DDIAS,0.0,0.0,CD4+ T naive
RAB30,4.53e-05,0.0,CD4+ T naive
RAB30-DT,0.0,0.0,CD4+ T naive
PCF11,0.0,0.0,CD4+ T naive
AP000873.2,0.0,0.0,CD4+ T naive
PCF11-AS1,0.0,0.0,CD4+ T naive
ANKRD42,0.0,0.0,CD4+ T naive
CCDC90B,0.0,0.0,CD4+ T naive
DLG2,0.0,0.0,CD4+ T naive
TMEM126B,0.0,0.0,CD4+ T naive
TMEM126A,0.0,0.0,CD4+ T naive
CREBZF,0.0,0.0,CD4+ T naive
SYTL2,3.46e-05,0.0,CD4+ T naive
PICALM,0.0,0.0,CD4+ T naive
EED,0.0,0.0,CD4+ T naive
HIKESHI,0.0,0.0,CD4+ T naive
ME3,0.0,0.0,CD4+ T naive
PRSS23,2.426e-05,0.0,CD4+ T naive
TMEM135,0.0,0.0,CD4+ T naive
RAB38,0.0,0.0,CD4+ T naive
CTSC,0.0,0.0,CD4+ T naive
CHORDC1,0.0,0.0,CD4+ T naive
DISC1FP1,0.0,0.0,CD4+ T naive
SLC36A4,0.0,0.0,CD4+ T naive
SMCO4,0.0,0.0,CD4+ T naive
CEP295,0.0,0.0,CD4+ T naive
TAF1D,0.0,0.0,CD4+ T naive
C11orf54,0.0,0.0,CD4+ T naive
MED17,0.0,0.0,CD4+ T naive
PANX1,0.0,0.0,CD4+ T naive
MRE11,0.0,0.0,CD4+ T naive
ANKRD49,0.000269,0.0,CD4+ T naive
FUT4,0.0,0.0,CD4+ T naive
PIWIL4,0.0,0.0,CD4+ T naive
AMOTL1,0.0,0.0,CD4+ T naive
CWC15,0.0,0.0,CD4+ T naive
SRSF8,0.0,0.0,CD4+ T naive
ENDOD1,0.0,0.0,CD4+ T naive
AP000787.1,0.0,0.0,CD4+ T naive
SESN3,0.0,0.0,CD4+ T naive
FAM76B,0.0,0.0,CD4+ T naive
CEP57,0.0,0.0,CD4+ T naive
MTMR2,0.0,0.0,CD4+ T naive
MAML2,0.00129,0.00010574,CD4+ T naive
CCDC82,0.0001835,0.0,CD4+ T naive
JRKL,0.0,0.0,CD4+ T naive
ARHGAP42,0.0,0.0,CD4+ T naive
CEP126,1.09e-05,0.0,CD4+ T naive
BIRC3,0.00162,8.63e-05,CD4+ T naive
BIRC2,0.0,0.0,CD4+ T naive
TMEM123,0.0,0.0,CD4+ T naive
AP001830.1,0.0,0.0,CD4+ T naive
DCUN1D5,0.0,0.0,CD4+ T naive
DYNC2H1,5.4e-07,0.0,CD4+ T naive
PDGFD,1.9e-06,0.0,CD4+ T naive
CASP4,0.0,0.0,CD4+ T naive
CASP1,0.0002544,0.0,CD4+ T naive
CARD16,0.0,0.0,CD4+ T naive
MSANTD4,0.0,0.0,CD4+ T naive
KBTBD3,3.53e-05,0.0,CD4+ T naive
AASDHPPT,0.0,0.0,CD4+ T naive
AP000766.1,0.0,0.0,CD4+ T naive
CWF19L2,0.0,0.0,CD4+ T naive
ALKBH8,0.0,0.0,CD4+ T naive
SLC35F2,0.0,0.0,CD4+ T naive
RAB39A,0.0,0.0,CD4+ T naive
AP003307.1,0.0,0.0,CD4+ T naive
CUL5,0.0,0.0,CD4+ T naive
AP002433.1,4e-07,0.0,CD4+ T naive
ACAT1,0.0,0.0,CD4+ T naive
NPAT,0.0,0.0,CD4+ T naive
ATM,0.0,0.0,CD4+ T naive
C11orf65,0.0,0.0,CD4+ T naive
POGLUT3,0.0,0.0,CD4+ T naive
EXPH5,0.0,0.0,CD4+ T naive
DDX10,0.0,0.0,CD4+ T naive
RDX,0.0,0.0,CD4+ T naive
ZC3H12C,0.0,0.0,CD4+ T naive
FDX1,0.0,0.0,CD4+ T naive
POU2AF1,4.73e-05,0.0,CD4+ T naive
SIK2,0.0,0.0,CD4+ T naive
PPP2R1B,0.0,0.0,CD4+ T naive
ALG9,0.0,0.0,CD4+ T naive
FDXACB1,0.0,0.0,CD4+ T naive
C11orf1,0.0,0.0,CD4+ T naive
DIXDC1,0.0,0.0,CD4+ T naive
DLAT,0.0,0.0,CD4+ T naive
NKAPD1,0.0,0.0,CD4+ T naive
TIMM8B,0.0,0.0,CD4+ T naive
SDHD,0.0,0.0,CD4+ T naive
IL18,0.0,0.0,CD4+ T naive
BCO2,0.0,0.0,CD4+ T naive
PTS,0.0,0.0,CD4+ T naive
LINC02762,4.554e-05,0.0,CD4+ T naive
NCAM1,2.5e-06,0.0,CD4+ T naive
TTC12,0.0,0.0,CD4+ T naive
ZW10,0.0,0.0,CD4+ T naive
USP28,8.523e-05,0.0,CD4+ T naive
ZBTB16,7.254e-05,0.0,CD4+ T naive
C11orf71,0.0,0.0,CD4+ T naive
RBM7,0.0,0.0,CD4+ T naive
REXO2,0.000576,0.0,CD4+ T naive
BUD13,0.0,0.0,CD4+ T naive
ZPR1,0.0,0.0,CD4+ T naive
APOA1,9e-07,0.0,CD4+ T naive
SIK3,0.0,0.0,CD4+ T naive
PAFAH1B2,0.0,0.0,CD4+ T naive
SIDT2,0.0,0.0,CD4+ T naive
TAGLN,0.0,0.0,CD4+ T naive
PCSK7,0.0,0.0,CD4+ T naive
RNF214,0.0,0.0,CD4+ T naive
BACE1,0.0,0.0,CD4+ T naive
BACE1-AS,0.0,0.0,CD4+ T naive
CEP164,0.0,0.0,CD4+ T naive
FXYD2,2.81e-05,0.0,CD4+ T naive
FXYD6,0.0,0.0,CD4+ T naive
IL10RA,0.0,0.0,CD4+ T naive
JAML,0.0006037,0.0,CD4+ T naive
MPZL3,0.0,0.0,CD4+ T naive
MPZL2,0.0,0.0,CD4+ T naive
CD3E,0.004635,0.000273,CD4+ T naive
CD3D,0.0,0.0,CD4+ T naive
CD3G,0.005165,0.000356,CD4+ T naive
UBE4A,0.0,0.0,CD4+ T naive
AP001267.1,0.0,0.0,CD4+ T naive
ATP5MG,0.0,0.0,CD4+ T naive
KMT2A,0.0,0.0,CD4+ T naive
TMEM25,0.0,0.0,CD4+ T naive
IFT46,0.0,0.0,CD4+ T naive
ARCN1,0.0,0.0,CD4+ T naive
DDX6,0.0,0.0,CD4+ T naive
AP004609.3,0.0,0.0,CD4+ T naive
CXCR5,1.47e-05,0.0,CD4+ T naive
BCL9L,0.0003316,0.0,CD4+ T naive
CCDC84-DT,0.0,0.0,CD4+ T naive
CCDC84,0.0,0.0,CD4+ T naive
TRAPPC4,0.0,0.0,CD4+ T naive
SLC37A4,0.0,0.0,CD4+ T naive
HYOU1,0.0,0.0,CD4+ T naive
AP003392.5,0.0,0.0,CD4+ T naive
VPS11,0.0,0.0,CD4+ T naive
HMBS,0.000521,0.0,CD4+ T naive
H2AFX,0.0,0.0,CD4+ T naive
DPAGT1,0.0,0.0,CD4+ T naive
C2CD2L,0.0,0.0,CD4+ T naive
HINFP,7.4e-06,0.0,CD4+ T naive
NLRX1,8e-07,0.0,CD4+ T naive
CCDC153,0.0,0.0,CD4+ T naive
CBL,0.0,0.0,CD4+ T naive
RNF26,0.0,0.0,CD4+ T naive
NECTIN1,0.0,0.0,CD4+ T naive
OAF,0.0,0.0,CD4+ T naive
TLCD5,0.0,0.0,CD4+ T naive
ARHGEF12,5.31e-05,0.0,CD4+ T naive
TBCEL,0.0,0.0,CD4+ T naive
SC5D,0.000358,0.0,CD4+ T naive
SORL1,0.0,0.0,CD4+ T naive
UBASH3B,0.0,0.0,CD4+ T naive
CRTAM,9.87e-05,0.0,CD4+ T naive
JHY,0.0,0.0,CD4+ T naive
HSPA8,0.0,0.0,CD4+ T naive
AP000926.2,0.0,0.0,CD4+ T naive
GRAMD1B,0.0,0.0,CD4+ T naive
ZNF202,0.0,0.0,CD4+ T naive
VWA5A,6.6e-07,0.0,CD4+ T naive
TBRG1,0.0,0.0,CD4+ T naive
SIAE,0.0,0.0,CD4+ T naive
SPA17,0.0,0.0,CD4+ T naive
NRGN,2.986e-05,0.0,CD4+ T naive
ESAM,0.0,0.0,CD4+ T naive
MSANTD2,0.0,0.0,CD4+ T naive
AP000866.6,0.0,0.0,CD4+ T naive
AP000866.1,0.0,0.0,CD4+ T naive
ROBO3,0.0,0.0,CD4+ T naive
CCDC15-DT,0.0,0.0,CD4+ T naive
CCDC15,0.0,0.0,CD4+ T naive
SLC37A2,0.0,0.0,CD4+ T naive
TMEM218,0.0,0.0,CD4+ T naive
FEZ1,0.0,0.0,CD4+ T naive
EI24,0.0,0.0,CD4+ T naive
STT3A,0.0,0.0,CD4+ T naive
CHEK1,0.0,0.0,CD4+ T naive
HYLS1,0.0,0.0,CD4+ T naive
PUS3,0.0,0.0,CD4+ T naive
RPUSD4,0.0,0.0,CD4+ T naive
FAM118B,0.0,0.0,CD4+ T naive
SRPRA,0.0,0.0,CD4+ T naive
FOXRED1,0.0,0.0,CD4+ T naive
TIRAP,0.0,0.0,CD4+ T naive
DCPS,0.0,0.0,CD4+ T naive
GSEC,0.0,0.0,CD4+ T naive
ST3GAL4,0.0,0.0,CD4+ T naive
ETS1,0.0,0.0,CD4+ T naive
FLI1,0.0,0.0,CD4+ T naive
SENCR,0.0,0.0,CD4+ T naive
ARHGAP32,0.0,0.0,CD4+ T naive
AP003327.2,0.0,0.0,CD4+ T naive
NFRKB,0.0,0.0,CD4+ T naive
PRDM10,0.0,0.0,CD4+ T naive
LINC00167,0.0,0.0,CD4+ T naive
APLP2,0.001019,6.104e-05,CD4+ T naive
ST14,0.0,0.0,CD4+ T naive
ZBTB44,0.0,0.0,CD4+ T naive
AP003486.1,0.0,0.0,CD4+ T naive
SNX19,0.0,0.0,CD4+ T naive
IGSF9B,0.0,0.0,CD4+ T naive
JAM3,0.0,0.0,CD4+ T naive
NCAPD3,0.0,0.0,CD4+ T naive
VPS26B,0.0,0.0,CD4+ T naive
THYN1,0.0,0.0,CD4+ T naive
ACAD8,0.0,0.0,CD4+ T naive
AC026369.3,0.0,0.0,CD4+ T naive
